ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,11.30000019,11.3,mg/L,51.10122,-114.27975,5/14/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,8.800000191,8.8,mg/L,51.10122,-114.27975,5/27/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,10.39999962,10.4,mg/L,51.10122,-114.27975,6/10/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.5,11.5,mg/L,51.10122,-114.27975,6/24/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,8.600000381,8.6,mg/L,51.10122,-114.27975,7/8/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,8.600000381,8.6,mg/L,51.10122,-114.27975,7/22/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,9.199999809,9.2,mg/L,51.10122,-114.27975,8/12/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,9.800000191,9.8,mg/L,51.10122,-114.27975,8/26/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,8.300000191,8.3,mg/L,51.10122,-114.27975,9/9/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,9,9,mg/L,51.10122,-114.27975,10/7/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,10.80000019,10.8,mg/L,51.10122,-114.27975,11/4/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.19999981,11.2,mg/L,51.10122,-114.27975,12/2/2003,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,12.89999962,12.9,mg/L,51.10122,-114.27975,1/13/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,12.60000038,12.6,mg/L,51.10122,-114.27975,3/2/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.69999981,11.7,mg/L,51.10122,-114.27975,4/8/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,10,10,mg/L,51.10122,-114.27975,5/5/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,9.300000191,9.3,mg/L,51.10122,-114.27975,6/2/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,8.800000191,8.8,mg/L,51.10122,-114.27975,6/30/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,9.899999619,9.9,mg/L,51.10122,-114.27975,7/28/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,8.800000191,8.8,mg/L,51.10122,-114.27975,8/25/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,9.100000381,9.1,mg/L,51.10122,-114.27975,9/23/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,12.30000019,12.3,mg/L,51.10122,-114.27975,10/20/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,14.60000038,14.6,mg/L,51.10122,-114.27975,11/17/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,13.39999962,13.4,mg/L,51.10122,-114.27975,12/15/2004,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,12.89999962,12.9,mg/L,51.10122,-114.27975,2/9/2005,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,8.300000191,8.3,mg/L,51.10122,-114.27975,4/6/2005,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,11.89999962,11.9,mg/L,51.10122,-114.27975,5/4/2005,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,9.100000381,9.1,mg/L,51.10122,-114.27975,6/1/2005,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,9.5,9.5,mg/L,51.10122,-114.27975,6/29/2005,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,8.800000191,8.8,mg/L,51.10122,-114.27975,7/27/2005,Dissolved Oxygen (Field),SUR_BR-BD
,Bow River Below Bearspaw Dam,10.19999981,10.2,mg/L,51.10122,-114.27975,8/24/2005,Dissolved Oxygen (Field),SUR_BR-BD
