ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,0.079999998,0.08,mg/L,51.10122,-114.27975,5/14/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.082999997,0.083,mg/L,51.10122,-114.27975,5/27/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.098999999,0.099,mg/L,51.10122,-114.27975,6/10/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.079000004,0.079,mg/L,51.10122,-114.27975,6/24/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.075999998,0.076,mg/L,51.10122,-114.27975,7/8/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.067000002,0.067,mg/L,51.10122,-114.27975,7/22/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.054000001,0.054,mg/L,51.10122,-114.27975,8/12/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.039000001,0.039,mg/L,51.10122,-114.27975,8/26/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.037,0.037,mg/L,51.10122,-114.27975,9/9/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.043000001,0.043,mg/L,51.10122,-114.27975,10/7/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.075999998,0.076,mg/L,51.10122,-114.27975,11/4/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.104999997,0.105,mg/L,51.10122,-114.27975,12/2/2003,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.119999997,0.12,mg/L,51.10122,-114.27975,1/13/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.129999995,0.13,mg/L,51.10122,-114.27975,2/4/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.119000003,0.119,mg/L,51.10122,-114.27975,3/2/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.088,0.088,mg/L,51.10122,-114.27975,4/8/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.052999999,0.053,mg/L,51.10122,-114.27975,5/5/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.054000001,0.054,mg/L,51.10122,-114.27975,6/2/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.081,0.081,mg/L,51.10122,-114.27975,6/30/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.067000002,0.067,mg/L,51.10122,-114.27975,7/28/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.07,0.07,mg/L,51.10122,-114.27975,8/25/2004,Nitrate (NO3-N),SUR_BR-BD
,Bow River Below Bearspaw Dam,0.063000001,0.063,mg/L,51.10122,-114.27975,9/23/2004,Nitrate (NO3-N),SUR_BR-BD
