ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,4.75,4.75,NTU,51.10122,-114.27975,5/14/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.359999895,3.36,NTU,51.10122,-114.27975,5/27/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,6.239999771,6.24,NTU,51.10122,-114.27975,6/10/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,6.710000038,6.71,NTU,51.10122,-114.27975,6/24/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.720000029,2.72,NTU,51.10122,-114.27975,7/8/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.50999999,1.51,NTU,51.10122,-114.27975,7/22/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.179999948,1.18,NTU,51.10122,-114.27975,8/12/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.74000001,0.74,NTU,51.10122,-114.27975,8/26/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.120000005,1.12,NTU,51.10122,-114.27975,9/9/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.99000001,0.99,NTU,51.10122,-114.27975,10/7/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.919999957,1.92,NTU,51.10122,-114.27975,11/4/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.610000014,1.61,NTU,51.10122,-114.27975,12/2/2003,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.480000019,1.48,NTU,51.10122,-114.27975,1/13/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.340000033,1.34,NTU,51.10122,-114.27975,2/4/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.00999999,1.01,NTU,51.10122,-114.27975,3/2/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.460000038,2.46,NTU,51.10122,-114.27975,4/8/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.700000048,1.7,NTU,51.10122,-114.27975,5/5/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.25,2.25,NTU,51.10122,-114.27975,6/2/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,4.75,4.75,NTU,51.10122,-114.27975,6/30/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.399999976,1.4,NTU,51.10122,-114.27975,7/28/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,4.239999771,4.24,NTU,51.10122,-114.27975,8/25/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.159999967,1.16,NTU,51.10122,-114.27975,9/23/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.940000057,1.94,NTU,51.10122,-114.27975,10/20/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.820000052,1.82,NTU,51.10122,-114.27975,11/17/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.389999986,1.39,NTU,51.10122,-114.27975,12/15/2004,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.049999952,1.05,NTU,51.10122,-114.27975,1/12/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.549999952,1.55,NTU,51.10122,-114.27975,2/9/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.539999962,2.54,NTU,51.10122,-114.27975,3/9/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.5,1.5,NTU,51.10122,-114.27975,4/6/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,8.359999657,8.36,NTU,51.10122,-114.27975,5/4/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.700000048,2.7,NTU,51.10122,-114.27975,6/1/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,202,202,NTU,51.10122,-114.27975,6/29/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.309999943,3.31,NTU,51.10122,-114.27975,7/27/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.400000095,2.4,NTU,51.10122,-114.27975,8/24/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.680000067,2.68,NTU,51.10122,-114.27975,9/22/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.25,1.25,NTU,51.10122,-114.27975,10/19/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.820000052,1.82,NTU,51.10122,-114.27975,11/16/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.629999995,1.63,NTU,51.10122,-114.27975,12/14/2005,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.399999976,1.4,NTU,51.10122,-114.27975,1/11/2006,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.129999995,1.13,NTU,51.10122,-114.27975,2/8/2006,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.340000033,1.34,NTU,51.10122,-114.27975,3/8/2006,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.630000114,2.63,NTU,51.10122,-114.27975,4/5/2006,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,4.329999924,4.33,NTU,51.10122,-114.27975,5/3/2006,Turbidity,SUR_BR-BD
